DATA AS OF,DEVELOPMENT,HUD AMP#,TDS#,CONSOLIDATED TDS#,DEVELOPMENT EDP#,OPERATING EDP#,HUD #,PROGRAM,METHOD,TYPE,NUMBER OF SECTION 8 TRANSITION APARTMENTS,NUMBER OF CURRENT APARTMENTS,TOTAL NUMBER OF APARTMENTS,NUMBER OF RENTAL ROOMS,AVG NO R/R PER APARTMENT,POPULATION SECTION 8 TRANSITION,POPULATION PUBLIC HOUSING,TOTAL POPULATION,TOTAL # OF FIXED INCOME HOUSEHOLD,PERCENT FIXED INCOME HOUSEHOLDS,NUMBER OF RESIDENTIAL BLDGS,NUMBER OF NON-RESIDENTIAL BLDGS,NUMBER OF STAIRHALLS,NUMBER OF STORIES,TOTAL AREA SQ FT,ACRES,NET DEV AREA SQ FT,EXCLUDING PARK ACRES,BLDG COVERAGE SQ FT,CUBAGE CU FT,BLDG COVERAGE %,DENSITY,DEVELOPMENT COST,PER RENTAL ROOM,AVG MONTHLY GROSS RENT,LOCATION STREET A,LOCATION STREET B,LOCATION STREET C,LOCATION STREET D,BOROUGH,COMMUNITY DISTIRCT,US CONGRESSIONAL DISTRICT,NY STATE SENATE DISTRICT,NY STATE ASSEMBLY DISTRICT,NY CITY COUNCIL DISTRICT,COMPLETION DATE,FEDERALIZED DEVELOPMENT,SENIOR DEVELOPMENT,ELECTRICITY PAID BY RESIDENTS,PRIVATE MANAGEMENT,RAD TRANSFERRED DATE
1/1/2024,HUNTS POINT AVENUE REHAB,NY005015300,367,530,806,748,NY005299,FEDERAL,TURNKEY,REHAB,0,128,131,592,4.63,0,321,321,36,0.2813,13,0,13,4–5,"58,206.00",1.34,"58,206",1.34,"35,180","1,540,888",60.44%,240,"$13,280,604","$21,933",$605,LAFAYETTE AVE,HUNTS POINT AVE,SENECA AVE,IRVINE ST,BRONX,2,14,29,85,17,11/30/1991,,,YES,YES,
1/1/2024,HYLAN,NY005010860,109,86,680,680,NY005364,FEDERAL,CONVENTIONAL,NEW CONST,0,209,209,933.5,4.47,0,416,416,96,0.4824,1,0,1,19,"77,658.00",1.78,"77,658",1.78,"11,403","1,878,400",14.68%,234,"$3,945,608","$4,240",$560,MOORE ST,HUMBOLDT ST,SEIGEL ST,BUSHWICK AVE,BROOKLYN,1,7,18,53,34,6/30/1960,1995/07/13-PTA,,,,
1/1/2024,INGERSOLL,NY005000140,14,14,510,510,NY005213B,FEDERAL,CONVENTIONAL,NEW CONST,0,"1,604","1,840","7,731.00",4.82,0,"3,709","3,709",578,0.3608,20,1,45,6–11,"884,521.00",20.31,"812,641",18.66,"175,748","10,226,288",17.62%,183,"$12,236,672","$1,681",$629,PARK AVE,SAINT EDWARDS ST,MYRTLE AVE,PRINCE ST,BROOKLYN,2,7,25,"52, 57",35,2/24/1944,1977/07/01-ATP 1,,,,
1/1/2024,INTERNATIONAL TOWER,NY005010910,316,91,296,296,NY005241,FEDERAL,TURNKEY,NEW CONST (ELD),0,146,159,520,3.56,0,167,167,123,0.9044,1,0,1,10,"42,500.00",0.98,"42,500",0.98,"12,689","1,126,314",29.86%,170,"$10,992,764","$19,269",$418,170TH ST,90TH AVE,169TH ST,JAMAICA AVE,QUEENS,12,5,11,29,27,5/31/1983,,EXCLUSIVELY,YES,,
1/1/2024,ISAACS,NY005011390,139,139,253,253,NY005057,FEDERAL,CONVENTIONAL,NEW CONST,0,633,636,"2,634.50",4.16,0,"1,132","1,132",308,0.5116,3,1,3,24,"152,173.00",3.49,"152,173",3.49,"32,645","4,857,894",21.45%,324,"$13,251,410","$5,009",$571,E 93RD ST,FIRST AVE,FDR DRIVE,,MANHATTAN,8,12,29,68,8,7/31/1965,,,,,
1/1/2024,JACKSON,NY005012670,120,267,243,243,NY005043,FEDERAL,CONVENTIONAL,NEW CONST,0,864,868,"4,114.00",4.76,0,"1,915","1,915",317,0.3871,7,1,7,16,"343,403.00",7.88,"343,403",7.88,"59,552","7,682,714",17.34%,243,"$14,850,303","$3,590",$530,PARK AVE,COURTLANDT AVE,E 158TH ST,E 156TH ST,BRONX,1,15,29,79,17,7/31/1963,,,,,
1/1/2024,JEFFERSON,NY005010640,64,64,219,219,NY005016,FEDERAL,CONVENTIONAL,NEW CONST,0,"1,484","1,493","6,933.00",4.67,0,"3,024","3,024",624,0.4345,18,1,34,7–13–14,"757,179.00",17.38,"757,179",17.38,"149,778","13,032,612",19.78%,174,"$26,894,981","$3,854",$624,E 112TH ST,THIRD AVE,E 115TH ST,FIRST AVE,MANHATTAN,11,13,29,68,8,8/28/1959,,,,,
1/1/2024,JOHNSON,NY005000170,17,17,516,516,NY005213H,FEDERAL,CONVENTIONAL,NEW CONST,0,"1,296","1,310","6,121.00",4.72,0,"2,775","2,775",535,0.4283,10,0,17,14,"517,632.00",11.88,"456,630",10.48,"97,804","10,582,024",18.89%,234,"$14,348,000","$2,337",$636,E 112TH ST,E 115TH ST,THIRD AVE,PARK AVE,MANHATTAN,11,13,30,68,8,12/27/1948,1977/07/01-ATP 1,,,,
1/1/2024,KING TOWERS,NY005010300,30,30,518,518,NY005213J,FEDERAL,CONVENTIONAL,NEW CONST,0,"1,327","1,379","6,130.50",4.62,0,"2,759","2,759",564,0.426,10,0,10,13–14,"599,120.00",13.75,"555,560",12.75,"98,822","11,745,000",16.49%,201,"$19,859,000","$3,135",$616,W 112TH ST,LENOX AVE,W 115TH ST,FIFTH AVE,MANHATTAN,10,13,30,70,9,11/1/1954,1977/07/01-ATP 1,,,,
1/1/2024,KINGSBOROUGH,NY005010100,10,10,205,205,NY005006,FEDERAL,CONVENTIONAL,NEW CONST,0,"1,156","1,165","4,716.00",4.08,0,"2,236","2,236",432,0.403,16,0,35,6,"695,544.00",15.97,"665,526",15.28,"129,189","8,037,853",18.57%,140,"$5,175,100","$1,107",$616,RALPH AVE,PACIFIC ST,BERGEN ST,ROCHESTER AVE,BROOKLYN,"8, 16","08, 09","20, 25","55, 56",41,10/31/1941,,,,,
1/1/2024,KINGSBOROUGH EXTENSION,NY005010100,161,10,268,205,NY005071,FEDERAL,CONVENTIONAL,NEW CONST (ELD),0,183,184,640.5,3.5,0,187,187,142,0.8931,1,0,1,25,"63,254.00",1.45,"63,254",1.45,"7,110","1,224,082",11.24%,129,"$2,986,383","$4,637",$390,BERGEN ST,PACIFIC ST,ROCHESTER AVE,RALPH AVE,BROOKLYN,8,8,20,56,41,5/31/1966,,EXCLUSIVELY,,,
1/1/2024,LA GUARDIA,NY005010760,76,76,221,221,NY005021,FEDERAL,CONVENTIONAL,NEW CONST,0,"1,087","1,094","5,084.50",4.68,0,"2,220","2,220",492,0.4735,9,1,9,16,"469,672.00",10.78,"415,455",9.54,"63,621","8,909,852",13.55%,206,"$17,157,591","$3,356",$680,RUTGERS ST,MADISON ST,MONTGOMERY ST,CHERRY ST,MANHATTAN,3,10,27,65,1,8/8/1957,,,,,
1/1/2024,LA GUARDIA ADDITION,NY005010760,152,76,262,221,NY005061,FEDERAL,CONVENTIONAL,NEW CONST (ELD),0,146,150,481,3.29,0,181,181,131,0.9493,1,0,1,16,"26,052.00",0.6,"26,052",0.6,"5,618","914,382",21.56%,302,"$2,876,132","$5,645",$344,CHERRY ST,MADISON ST,RUTGERS ST,MONTGOMERY ST,MANHATTAN,3,10,27,65,1,8/31/1965,,EXCLUSIVELY,,,
1/1/2024,LAFAYETTE,NY005001220,122,122,247,247,NY005047,FEDERAL,CONVENTIONAL,NEW CONST,0,838,882,"4,182.00",4.99,0,"2,144","2,144",353,0.4222,7,0,7,13–15–20,"334,323.00",7.68,"304,776",7,"58,504","8,369,220",17.50%,279,"$14,689,766","$3,350",$669,LAFAYETTE AVE,CLASSON AVE,DEKALB AVE,FRANKLIN AVE,BROOKLYN,3,8,25,57,36,7/31/1962,,,,,
1/1/2024,LATIMER GARDENS,NY005011860,186,186,290,290,NY005093,FEDERAL,CONVENTIONAL,NEW CONST,0,423,423,"1,708.50",4.04,0,751,751,216,0.5243,4,0,4,10,"167,134.00",3.84,"167,134",3.84,"40,077","3,430,247",23.98%,196,"$9,310,959","$5,442",$607,"34TH, 35TH AVES",LINDEN PL,LEAVITT ST,137TH ST,QUEENS,7,6,16,40,20,9/30/1970,,,,,
1/1/2024,LAVANBURG HOMES,NY005003100,310,310,578,578,NY005248,FEDERAL,CONVENTIONAL,REHAB,,95,104,391.5,4.12,,,,,,1,0,6,6,"23,032.00",0.53,"23,032",0.53,"12,882","937,200",55.93%,,"$5,742,000","$12,903",,E HOUSTON ST,BARUCH PL,A NEW ST,MANGIN ST,MANHATTAN,3,10,27,74,2,9/26/1984,,,,,
1/1/2024,LEAVITT STREET-34TH AVENUE,NY005011860,201,186,386,290,NY005191,FEDERAL,TURNKEY,NEW CONST (ELD),0,83,83,272.5,3.28,0,92,92,74,0.9487,1,0,1,6,"20,013.00",0.46,"20,013",0.46,"8,465","571,608",42.30%,200,"$2,606,744","$9,244",$318,LEAVITT ST,UNION ST,34TH AVE,34TH RD,QUEENS,7,6,16,40,20,10/31/1974,,EXCLUSIVELY,,,
1/1/2024,LEHMAN VILLAGE,NY005001010,101,101,238,238,NY005033,FEDERAL,CONVENTIONAL,NEW CONST,0,617,622,"2,893.50",4.69,0,"1,355","1,355",266,0.4361,4,1,4,20,"177,426.00",4.07,"177,426",4.07,"28,904","5,367,611",16.29%,333,"$11,549,370","$3,959",$568,MADISON AVE,PARK AVE,E 106TH ST,E 110TH ST,MANHATTAN,11,13,29,68,8,11/30/1963,,,,,
1/1/2024,LEXINGTON,NY005010620,50,62,374,217,NY005183C,FEDERAL,CONVENTIONAL,NEW CONST,0,447,448,"1,896.50",4.24,0,788,788,203,0.4721,4,0,4,14,"151,467.00",3.48,"151,467",3.48,"35,222","3,879,000",23.25%,226,"$4,780,152","$2,515",$625,E 98TH ST,THIRD AVE,E 99TH ST,PARK AVE,MANHATTAN,11,13,29,68,8,3/16/1951,1972/06/29-FED TRAN,,,,
1/1/2024,LINCOLN,NY005000200,20,20,513,513,NY005213E,FEDERAL,CONVENTIONAL,NEW CONST,0,"1,211","1,286","5,784.50",4.78,0,"2,592","2,592",514,0.4273,14,0,20,6–14,"551,740.00",12.67,"508,561",11.67,"106,738","10,743,035",19.35%,205,"$14,324,000","$2,358",$583,E 132ND ST,E 135TH ST,FIFTH AVE,PARK AVE,MANHATTAN,11,13,30,70,9,12/29/1948,1977/07/01-ATP 1,,,,
1/1/2024,LONG ISLAND BAPTIST HOUSES,NY005012610,276,261,502,375,NY005201,FEDERAL,CONVENTIONAL,REHAB,0,228,232,"1,035.00",4.54,0,471,471,50,0.2488,4,0,4,6,"78,700.00",1.81,"78,700",1.81,"37,700","2,490,500",47.90%,260,"$11,627,063","$11,010",$674,SUTTER AVE,SHEFFIELD AVE,DUMONT AVE,HINSDALE ST,BROOKLYN,5,8,19,60,42,6/30/1981,,,YES,,
1/1/2024,LONGFELLOW AVENUE REHAB,NY005015300,362,530,794,748,NY005295,FEDERAL,TURNKEY,REHAB,0,75,75,412.5,5.5,0,255,255,16,0.2162,2,0,2,5,"26,724.00",0.61,"26,724",0.61,"16,773","1,060,415",62.76%,418,"$7,044,209","$17,077",$740,WESTCHESTER AVE,WHITLOCK AVE,E 165TH ST,BRYANT AVE,BRONX,2,14,32,85,17,10/31/1990,,,YES,YES,
1/1/2024,LOW HOUSES,NY005011690,169,169,276,276,NY005082,FEDERAL,CONVENTIONAL,NEW CONST,0,532,536,"2,533.00",4.76,0,"1,236","1,236",187,0.3603,4,0,4,17–18,"256,459.00",5.89,"256,459",5.89,"45,163","4,802,466",17.61%,210,"$10,312,262","$4,052",$578,SACKMAN ST,POWELL ST,CHRISTOPHER ST,PITKIN AVE,BROOKLYN,16,8,25,55,41,12/31/1967,,,,,
1/1/2024,LOWER EAST SIDE I INFILL,NY005011000,326,100,784,784,NY005259,FEDERAL,TURNKEY,NEW CONST,0,189,189,777.5,4.11,0,323,323,109,0.6022,5,0,15,4–9,"86,078.00",1.98,"86,078",1.98,"37,227","1,657,278",43.25%,163,"$14,369,576","$18,482",$587,DELANCEY ST,RIVINGTON ST,FORSYTHE ST,ELDRIDGE ST,MANHATTAN,3,10,27,65,1,6/1/1988,,PARTIALLY (1 BUILDING),YES,,
1/1/2024,LOWER EAST SIDE II,NY005012920,337,337,783,555,NY005262,FEDERAL,TURNKEY,NEW CONST,0,186,188,838,4.51,0,401,401,83,0.4462,4,1,31,3,"167,568.00",3.85,"167,568",3.85,"59,808","1,622,292",35.69%,104,"$14,709,271","$17,346",$643,E 4TH & 5TH STS,E 6TH ST,AVENUES B & C,AVENUE D,MANHATTAN,3,10,27,74,2,11/1/1988,,,YES,,
1/1/2024,LOWER EAST SIDE III,NY005013590,364,359,548,840,NY005215,FEDERAL,TURNKEY,NEW CONST,0,56,56,280,5,0,144,144,15,0.2679,2,1,2,4,"42,733.00",0.98,"42,733",0.98,"22,801","596,573",53.36%,147,"$7,324,340","$26,158",$684,E 9TH ST,AVENUE D,E 8TH ST,AVENUE C,MANHATTAN,3,10,27,74,2,4/30/1997,,,YES,YES,
1/1/2024,LOWER EAST SIDE REHAB (GROUP 5),NY005012920,292,337,555,555,NY005233,FEDERAL,TURNKEY,REHAB,0,51,55,214.5,4.21,0,106,106,19,0.3725,2,0,2,6,"17,872.00",0.41,"17,872",0.41,"10,275","490,400",57.49%,259,"$4,322,735","$18,795",$724,AVENUE C,E 6TH ST,E 7TH ST,,MANHATTAN,3,10,27,74,2,12/1/1986,,,YES,,
1/1/2024,MANHATTANVILLE,NY005020810,81,81,429,429,NY005378,MIXED FINANCE/LLC1,CONVENTIONAL,NEW CONST,204,"1,216","1,272","5,751.00",4.73,458,"2,205","2,663",511,0.4255,6,0,6,20,"538,367.00",12.36,"538,367",12.36,"83,754","11,967,873",15.56%,215,"$25,774,000","$4,306",$592,W 133RD ST,BROADWAY,AMSTERDAM AVE,W 129TH ST,MANHATTAN,9,13,30,70,7,6/30/1961,,,,,
1/1/2024,MARBLE HILL,NY005020490,49,49,638,638,NY005379,MIXED FINANCE/LLC1,CONVENTIONAL,NEW CONST,257,"1,682","1,682","7,120.00",4.23,470,"2,516","2,986",804,0.5038,11,1,11,14–15,"724,809.00",16.64,"652,495",14.98,"111,631","13,300,359",15.40%,179,"$17,882,055","$2,539",$549,EXTERIOR ST,W 225TH ST,BROADWAY,W 230TH ST,BRONX,8,13,31,"72, 81","10, 14",3/6/1952,,,,,
1/1/2024,MARCY,NY005000210,21,21,514,514,NY005213F,FEDERAL,CONVENTIONAL,NEW CONST,0,"1,702","1,717","8,203.00",4.82,0,"3,814","3,814",679,0.4093,27,1,70,6,"1,241,000.00",28.49,"1,101,547",25.29,"240,198","13,741,160",19.36%,134,"$19,420,000","$2,347",$599,FLUSHING AVE,MARCY AVE,NOSTRAND AVE,MYRTLE AVE,BROOKLYN,3,8,25,56,36,1/19/1949,1977/07/01-ATP 1,,,,
1/1/2024,MARINER'S HARBOR,NY005000770,77,77,228,228,NY005020,FEDERAL,CONVENTIONAL,NEW CONST,0,603,607,"2,839.50",4.71,0,"1,324","1,324",199,0.3473,22,0,32,3–6,"947,622.00",21.75,"816,256",18.74,"124,890","5,691,790",13.18%,61,"$8,072,855","$2,826",$573,GRAND VIEW AVE,ROXBURY ST,LOCKMAN AVE,CONTINENTAL PL,STATEN ISLAND,1,11,23,63,49,9/3/1954,,,,,
1/1/2024,MARLBORO,NY005020830,83,83,426,426,NY005380,MIXED FINANCE/LLC1,CONVENTIONAL,NEW CONST,363,"1,760","1,765","8,231.00",4.68,780,"2,801","3,581",765,0.467,28,2,28,7–16,"1,518,505.00",34.86,"1,471,805",33.79,"202,426","15,183,887",13.33%,103,"$22,429,000","$2,783",$611,STILLWELL AVE,AVENUE V,86TH ST,AVENUE X,BROOKLYN,13,8,23,"45, 47",47,2/27/1958,,,,,
1/1/2024,MCKINLEY,NY005000590,103,59,236,236,NY005031,FEDERAL,CONVENTIONAL,NEW CONST,0,615,619,"2,925.50",4.76,0,"1,287","1,287",254,0.4334,5,1,5,16,"289,985.00",6.66,"233,735",5.37,"41,286","5,580,675",14.24%,193,"$10,418,410","$3,535",$566,E 161ST ST,E 163RD ST,TINTON AVE,KINGSLAND PL,BRONX,3,15,32,79,17,7/31/1962,,,,,
1/1/2024,MELROSE,NY005010280,28,28,523,523,NY005216B,FEDERAL,CONVENTIONAL,NEW CONST,0,"1,019","1,023","4,846.50",4.76,0,"2,188","2,188",402,0.4057,8,1,8,14,"541,687.00",12.44,"498,060",11.43,"68,826","8,736,312",12.71%,176,"$12,236,000","$2,515",$552,MORRIS AVE,E 153RD ST,COURTLANDT AVE,E 156TH ST,BRONX,1,15,29,79,17,6/20/1952,1978/02/01-ATP 2,,,,
1/1/2024,MELTZER TOWER,NY005011000,183,100,286,237,NY005085,FEDERAL,CONVENTIONAL,NEW CONST (ELD),0,213,231,641.5,3.01,0,229,229,187,0.9034,1,0,1,20,"50,180.00",1.15,"50,180",1.15,"6,910","1,316,253",13.77%,199,"$5,622,697","$7,487",$328,E 1ST ST,FIRST AVE,E 2ND ST,AVENUE A,MANHATTAN,3,10,27,65,2,8/31/1971,,EXCLUSIVELY,,,
1/1/2024,METRO NORTH PLAZA,NY005010090,181,112,284,284,NY005092,FEDERAL,CONVENTIONAL,NEW CONST,0,260,275,"1,248.00",4.8,0,543,543,124,0.4844,3,0,3,7–8–11,"99,827.00",2.29,"99,827",2.29,"34,752","2,668,090",34.81%,237,"$6,733,865","$5,105",$594,E 101ST ST,FIRST AVE,E 102ND ST,SECOND AVE,MANHATTAN,11,13,29,68,8,8/31/1971,,,,,
1/1/2024,MIDDLETOWN PLAZA,NY005010340,191,34,302,313,NY005096B,FEDERAL,CONVENTIONAL,NEW CONST (ELD),0,159,179,543.5,3.42,0,167,167,141,0.9276,1,0,1,15,"49,309.00",1.13,"49,309",1.13,"10,076","1,078,917",20.43%,148,"$6,090,291","$9,776",$374,ROBERTS AVE,JARVIS AVE,MIDDLETOWN RD,HOBART AVE,BRONX,10,14,34,82,13,8/31/1973,,EXCLUSIVELY,,,
1/1/2024,MILL BROOK,NY005010840,84,84,570,570,NY005244C,FEDERAL,CONVENTIONAL,NEW CONST,0,"1,249","1,255","5,789.50",4.64,0,"2,628","2,628",507,0.4257,9,0,9,16,"507,592.00",11.65,"463,332",10.64,"76,410","10,446,587",14.17%,226,"$22,176,000","$3,898",$499,E 135TH ST,BROOK AVE,E 137TH ST,CYPRESS AVE,BRONX,1,15,29,84,8,5/26/1959,1979/08/01-ATP 4,,,,
1/1/2024,MILL BROOK EXTENSION,NY005010840,132,84,570,570,NY005244C,FEDERAL,CONVENTIONAL,NEW CONST,0,122,125,598,4.9,0,269,269,53,0.4569,1,0,1,16,"22,500.00",0.52,"22,500",0.52,"8,660","1,130,657",38.49%,517,"$1,957,000","$3,198",$453,CYPRESS AVE,E 135TH ST,E 137TH ST,,BRONX,1,15,29,84,8,1/31/1962,1979/08/01-ATP 4,,,,
1/1/2024,MITCHEL,NY005011450,145,145,249,249,NY005050,FEDERAL,CONVENTIONAL,NEW CONST,0,"1,726","1,732","7,525.00",4.36,0,"3,619","3,619",649,0.4009,10,1,10,17–19–20,"699,494.00",16.06,"653,938",15.01,"97,114","14,044,919",13.88%,225,"$33,012,851","$4,350",$587,LINCOLN AVE,E 138TH ST,WILLIS AVE,E 135TH ST,BRONX,1,15,29,84,8,2/28/1966,,PARTIALLY (1 BUILDING),,,
1/1/2024,MONROE,NY005000880,88,88,234,234,NY005036,FEDERAL,CONVENTIONAL,NEW CONST,0,"1,099","1,102","5,295.50",4.82,0,"2,425","2,425",469,0.4501,12,1,18,8–14–15,"805,341.00",18.49,"805,341",18.49,"118,402","10,177,348",14.70%,131,"$16,449,659","$3,100",$603,SOUNDVIEW AVE,STORY AVE,TAYLOR AVE,LAFAYETTE AVE,BRONX,9,14,34,85,18,11/2/1961,,,,,
1/1/2024,MOORE,NY005010930,129,93,251,251,NY005080,FEDERAL,CONVENTIONAL,NEW CONST,0,445,463,"2,085.50",4.69,0,"1,010","1,010",174,0.3928,2,0,4,20,"117,000.00",2.69,"117,000",2.69,"21,826","4,029,275",18.65%,375,"$7,256,661","$3,350",$570,E 147TH ST,E 149TH ST,JACKSON AVE,TRINITY AVE,BRONX,1,15,29,84,8,3/31/1964,,,,,
1/1/2024,MORRIS I,NY005011020,102,102,239,239,NY005037,FEDERAL,CONVENTIONAL,NEW CONST,0,"1,082","1,085","5,234.00",4.84,0,"2,625","2,625",406,0.3942,10,0,10,16–20,"416,831.00",9.57,"416,831",9.57,"66,594","9,980,542",15.98%,274,"$20,735,295","$4,008",$544,PARK AVE,E 170TH ST,THIRD AVE,E 169TH ST,BRONX,3,15,32,79,16,8/31/1965,,,,,
1/1/2024,MORRIS II,NY005011020,502,102,280,239,NY005079,FEDERAL,CONVENTIONAL,NEW CONST,0,800,802,"3,758.00",4.7,0,"1,808","1,808",335,0.4373,7,0,7,16–20,"358,843.00",8.24,"313,704",7.2,"51,875","7,162,265",14.46%,219,"$15,391,181","$4,008",$542,PARK AVE,E 171ST ST,THIRD AVE,E 170TH ST,BRONX,3,15,32,79,16,8/31/1965,,,,,
1/1/2024,MORRIS PARK SENIOR CITIZENS HOME,NY005012410,277,241,504,346,NY005200,FEDERAL,CONVENTIONAL,REHAB (ELD),0,81,97,245.5,3.03,0,96,96,68,0.85,1,0,1,9,"10,000.00",0.23,"10,000",0.23,"6,491","561,310",64.91%,417,"$1,989,852","$6,337",$387,E 124TH ST,MADISON AVE,FIFTH AVE,,MANHATTAN,11,13,30,68,9,4/30/1977,,EXCLUSIVELY,YES,,
1/1/2024,MORRISANIA,NY005011410,130,141,250,231,NY005048,FEDERAL,CONVENTIONAL,NEW CONST,0,205,206,958.5,4.68,0,495,495,74,0.37,2,0,2,16,"60,890.00",1.4,"60,890",1.4,"13,024","1,769,693",21.39%,354,"$3,742,711","$3,891",$549,E 169TH ST,WASHINGTON AVE,PARK AVE,,BRONX,3,15,32,79,16,5/31/1963,,,,,
1/1/2024,MORRISANIA AIR RIGHTS,NY005012670,267,267,385,385,NY005190,FEDERAL,TURNKEY,NEW CONST,0,842,843,"3,790.00",4.5,0,"1,560","1,560",444,0.5585,3,0,5,19–23–29,"274,300.00",6.3,"274,300",6.3,"64,435","11,316,800",23.49%,248,"$40,272,504","$10,584",$507,PARK AVE,E 158TH ST,E 161ST ST,E 163RD ST,BRONX,"3, 4",15,"29, 32",79,16,1/1/1981,,PARTIALLY (1 STAIRHALL),,,
1/1/2024,MOTT HAVEN,NY005001210,121,121,244,244,NY005044,FEDERAL,CONVENTIONAL,NEW CONST,0,990,993,"4,625.00",4.67,0,"2,253","2,253",326,0.3517,8,1,8,20–22,"417,367.00",9.58,"386,817",8.88,"78,477","9,236,613",18.80%,235,"$20,670,000","$4,456",$608,E 140TH ST,E 144TH ST,ALEXANDER AVE,WILLIS AVE,BRONX,1,15,29,84,8,3/31/1965,,,,,
1/1/2024,NEW LANE AREA,NY005010350,314,35,306,306,NY005242,FEDERAL,TURNKEY,NEW CONST (ELD),0,251,277,904.5,3.6,0,296,296,231,0.9352,1,0,2,10,"120,879.00",2.78,"120,879",2.78,"29,107","2,204,124",24.08%,106,"$18,511,313","$18,493",$387,LINDEN PL,NEW LANE,WATER FRONT TRACT,,STATEN ISLAND,1,11,23,63,49,7/12/1984,,EXCLUSIVELY,YES,,
1/1/2024,NOSTRAND,NY005010360,43,36,585,585,NY005268C,FEDERAL,CONVENTIONAL,NEW CONST,0,"1,087","1,148","4,717.50",4.34,0,"2,163","2,163",487,0.4488,16,1,32,6,"1,036,600.00",23.8,"1,036,600",23.8,"177,223","9,377,365",17.10%,91,"$13,817,794","$2,779",$586,AVENUE V,BRAGG ST,AVENUE X,BATCHELDER ST,BROOKLYN,15,8,23,41,46,12/14/1950,1980/07/01-ATP 6,,,,
1/1/2024,OCEAN BAY APARTMENTS (OCEANSIDE),NY005010980,51,165,573,571,NY005244F,FEDERAL,CONVENTIONAL,NEW CONST,0,417,418,"1,766.50",4.24,0,774,774,166,0.4213,7,0,14,6,"354,220.00",8.13,"310,500",7.13,"66,101","3,931,321",18.66%,95,"$5,137,275","$2,901",$620,ARVERNE BLVD,B 56TH ST,BEACH CHANNEL DR,B 54TH ST,QUEENS,14,5,10,31,31,2/28/1951,1979/08/01-ATP 4,,,,
1/1/2024,OCEAN HILL APARTMENTS,NY005011620,162,162,269,269,NY005072,FEDERAL,CONVENTIONAL,NEW CONST,0,225,238,"1,025.50",4.56,0,563,563,72,0.32,3,1,3,14,"112,916.00",2.59,"112,916",2.59,"16,412","2,178,743",14.53%,217,"$4,875,929","$4,527",$761,BROADWAY,MACDOUGAL ST,MOTHER GASTON BLVD,CHERRY ST,BROOKLYN,16,8,25,55,37,3/31/1968,,,,,
1/1/2024,O'DWYER GARDENS,NY005011720,172,172,582,582,NY005267D,FEDERAL,CONVENTIONAL,NEW CONST,0,562,573,"2,175.00",3.87,0,882,882,298,0.572,6,1,6,15–16,"276,010.00",6.34,"276,010",6.34,"34,501","5,421,328",12.50%,139,"$15,000,000","$6,649",$574,W 32ND ST,SURF AVE,W 35TH ST,MERMAID AVE,BROOKLYN,13,8,23,46,47,12/31/1969,1980/07/01-ATP 5,,,,
1/1/2024,PARKSIDE,NY005010470,47,47,580,580,NY005267B,FEDERAL,CONVENTIONAL,NEW CONST,0,878,879,"3,708.00",4.22,0,"1,604","1,604",393,0.4667,14,0,20,6–7–14–15,"485,455.00",11.14,"453,178",10.4,"96,415","7,454,500",19.86%,144,"$9,676,316","$2,606",$550,ADEE AVE,WHITE PLAINS RD,ARNOW AVE,BRONX PARK EAST,BRONX,11,15,36,80,12,6/12/1951,1980/07/01-ATP 5,,,,
1/1/2024,PATTERSON,NY005000240,24,24,522,522,NY005216A,FEDERAL,CONVENTIONAL,NEW CONST,0,"1,786","1,791","8,495.00",4.76,0,"3,794","3,794",685,0.4011,15,0,25,6–13,"748,573.00",17.18,"702,358",16.12,"167,841","14,503,544",22.42%,221,"$20,731,000","$2,433",$585,MORRIS AVE,THIRD AVE,E 145TH ST,E 139TH ST,BRONX,1,15,29,84,8,12/31/1950,1978/02/01-ATP 2,,,,
1/1/2024,PELHAM PARKWAY,NY005010390,39,39,586,586,NY005271A,FEDERAL,CONVENTIONAL,NEW CONST,0,"1,265","1,266","5,446.50",4.31,0,"2,287","2,287",548,0.4536,23,0,38,6,"1,034,160.00",23.74,"967,252",22.21,"184,875","10,665,277",17.88%,96,"$15,295,753","$2,806",$625,PELHAM PKWY,WALLACE AVE,WILLIAMSBRIDGE RD,MACE AVE,BRONX,11,15,"33, 36",80,13,6/30/1950,1980/10/01-ATP 7,,,,
1/1/2024,PINK,NY005000890,89,89,235,235,NY005035,FEDERAL,CONVENTIONAL,NEW CONST,0,"1,498","1,500","7,091.00",4.73,0,"3,294","3,294",596,0.4159,22,2,22,8,"1,354,844.00",31.1,"1,311,306",30.1,"193,511","13,316,063",14.28%,106,"$20,134,047","$2,835",$569,CRESCENT ST,LINDEN BLVD,ELDERTS LA,STANLEY AVE,BROOKLYN,5,8,19,60,42,9/30/1959,,,,,
1/1/2024,POLO GROUNDS TOWERS,NY005001490,149,149,260,260,NY005062,FEDERAL,CONVENTIONAL,NEW CONST,0,"1,519","1,614","7,268.50",4.79,0,"3,604","3,604",657,0.4342,4,4,8,30,"659,780.00",15.15,"659,780",15.15,"83,689","14,904,498",12.68%,238,"$32,292,784","$4,190",$575,DOUGLASS BLVD,W 155TH ST,HARLEM RIVER DR,,MANHATTAN,10,13,30,71,9,6/30/1968,,,,,
